Name,Abbr Name,subcategory,Field,JIF5Years,Threshold
JAMA Pediatrics,JAMA PEDIATR,PEDIATRICS,Medicine,20.4,1.0
FUNGAL DIVERSITY,FUNGAL DIVERS,MYCOLOGY,Biology,24.1,1.0
Interdisciplinary Materials,INTERD MATER,"PHYSICS, APPLIED",Physics,24.7,1.0
Advanced Energy Materials,ADV ENERGY MATER,"PHYSICS, CONDENSED MATTER",Physics,27.2,1.0
Lancet Planetary Health,LANCET PLANET HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,25.6,1.0
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,"PHYSICS, MULTIDISCIPLINARY",Physics,25.7,1.0
Lancet Digital Health,LANCET DIGIT HEALTH,"MEDICINE, GENERAL & INTERNAL",Medicine,27.7,1.0
ACM COMPUTING SURVEYS,ACM COMPUT SURV,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science,21.1,0.8
iMeta,IMETA,MICROBIOLOGY,Biology,23.7,1.0
Annual Review of Psychology,ANNU REV PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,27.9,1.0
Nature Food,NAT FOOD,FOOD SCIENCE & TECHNOLOGY,Chemistry,25.0,1.5
Nature Cancer,NAT CANCER,ONCOLOGY,Medicine,24.6,1.0
PROCEEDINGS OF THE IEEE,P IEEE,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,18.4,1.5
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,17.7,1.5
GUT,GUT,GASTROENTEROLOGY & HEPATOLOGY,Medicine,24.5,1.0
Living Reviews in Solar Physics,LIVING REV SOL PHYS,ASTRONOMY & ASTROPHYSICS,Physics,24.6,1.0
InfoMat,INFOMAT,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,21.7,1.5
JAMA Internal Medicine,JAMA INTERN MED,"MEDICINE, GENERAL & INTERNAL",Medicine,22.5,1.0
JAMA Oncology,JAMA ONCOL,ONCOLOGY,Medicine,25.9,1.0
JAMA Psychiatry,JAMA PSYCHIAT,PSYCHIATRY,Medicine,22.3,1.0
EnergyChem,ENERGYCHEM,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,25.4,1.5
ENDOCRINE REVIEWS,ENDOCR REV,ENDOCRINOLOGY & METABOLISM,Medicine,26.5,1.0
Cellular & Molecular Immunology,CELL MOL IMMUNOL,IMMUNOLOGY,Medicine,19.9,1.0
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,24.2,1.0
Nature Human Behaviour,NAT HUM BEHAV,"PSYCHOLOGY, EXPERIMENTAL",Medicine,20.4,1.0
Annual Review of Public Health,ANNU REV PUBL HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,25.7,1.0
Annual Review of Plant Biology,ANNU REV PLANT BIOL,PLANT SCIENCES,Biology,28.2,1.0
NATURE NEUROSCIENCE,NAT NEUROSCI,NEUROSCIENCES,Biology,25.6,1.0
Materials Today,MATER TODAY,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,25.4,1.5
Journal of Thoracic Oncology,J THORAC ONCOL,RESPIRATORY SYSTEM,Medicine,16.5,1.0
BLOOD,BLOOD,HEMATOLOGY,Medicine,19.2,1.0
Lancet Microbe,LANCET MICROBE,MICROBIOLOGY,Biology,23.4,1.0
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,22.2,1.5
Cell Host & Microbe,CELL HOST MICROBE,VIROLOGY,Biology,22.1,1.0
Light-Science & Applications,LIGHT-SCI APPL,OPTICS,Physics,20.3,1.0
Advanced Photonics,ADV PHOTONICS,OPTICS,Physics,16.5,1.0
Nature Microbiology,NAT MICROBIOL,MICROBIOLOGY,Biology,21.0,1.0
JAMA Neurology,JAMA NEUROL,CLINICAL NEUROLOGY,Medicine,20.4,1.0
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,RHEUMATOLOGY,Medicine,18.4,1.0
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,"CHEMISTRY, INORGANIC & NUCLEAR",Chemistry,19.9,1.5
Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,"MATERIALS SCIENCE, PAPER & WOOD",Materials Science,,1.5
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,"ENGINEERING, ENVIRONMENTAL",Engineering,18.9,1.5
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,19.2,0.8
Cancer Communications,CANCER COMMUN,ONCOLOGY,Medicine,16.7,1.0
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,PEDIATRICS,Medicine,19.8,1.0
Lancet Global Health,LANCET GLOB HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,26.4,1.0
Cell Stem Cell,CELL STEM CELL,CELL BIOLOGY,Biology,22.6,1.0
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,"MEDICINE, GENERAL & INTERNAL",Medicine,28.8,1.0
Carbon Energy,CARBON ENERGY,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,19.9,1.5
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,RESPIRATORY SYSTEM,Medicine,20.0,1.0
Kidney International Supplements,KIDNEY INT SUPPL,UROLOGY & NEPHROLOGY,Medicine,14.2,1.0
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,MANAGEMENT,Mathematics,17.1,0.7
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,PHARMACOLOGY & PHARMACY,Medicine,22.1,1.0
ACS Energy Letters,ACS ENERGY LETT,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,20.8,1.5
Nature Chemistry,NAT CHEM,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,22.0,1.5
Chem,CHEM-US,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,23.8,1.5
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,MICROBIOLOGY,Biology,33.8,1.0
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,"PHYSICS, MULTIDISCIPLINARY",Physics,18.2,1.0
Nature Metabolism,NAT METAB,ENDOCRINOLOGY & METABOLISM,Medicine,21.0,1.0
Energy Storage Materials,ENERGY STORAGE MATER,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,18.4,1.5
Nature Machine Intelligence,NAT MACH INTELL,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Computer Science,26.4,0.8
Science Bulletin,SCI BULL,MULTIDISCIPLINARY SCIENCES,Mathematics,15.8,0.7
SusMat,SUSMAT,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,18.7,1.5
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,OPHTHALMOLOGY,Medicine,20.3,1.0
Journal of Advanced Ceramics,J ADV CERAM,"MATERIALS SCIENCE, CERAMICS",Materials Science,15.0,1.5
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,"PHYSICS, CONDENSED MATTER",Physics,19.6,1.0
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,40.0,1.0
Bioactive Materials,BIOACT MATER,"MATERIALS SCIENCE, BIOMATERIALS",Materials Science,18.2,1.5
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,"PSYCHOLOGY, CLINICAL",Medicine,21.9,1.0
Nature Physics,NAT PHYS,"PHYSICS, MULTIDISCIPLINARY",Physics,19.3,1.0
Science Immunology,SCI IMMUNOL,IMMUNOLOGY,Medicine,19.1,1.0
PERIODONTOLOGY 2000,PERIODONTOL 2000,"DENTISTRY, ORAL SURGERY & MEDICINE",Medicine,16.8,1.0
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,24.1,1.0
Computational Visual Media,COMPUT VIS MEDIA,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Computer Science,,0.8
NATURE CELL BIOLOGY,NAT CELL BIOL,CELL BIOLOGY,Biology,24.2,1.0
Matter,MATTER-US,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,18.9,1.5
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,PLANT SCIENCES,Biology,20.1,1.0
Advanced Fiber Materials,ADV FIBER MATER,"MATERIALS SCIENCE, TEXTILES",Materials Science,15.7,1.5
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,"ENGINEERING, BIOMEDICAL",Engineering,,1.5
Molecular Plant,MOL PLANT,PLANT SCIENCES,Biology,21.4,1.0
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,"SOCIAL SCIENCES, BIOMEDICAL",Medicine,12.3,1.0
Nature Aging,NATURE AGING,NEUROSCIENCES,Biology,17.0,1.0
EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,16.2,1.0
Nature Reviews Psychology,NAT REV PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,16.8,1.0
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Mathematics,20.0,0.7
Nano Energy,NANO ENERGY,"PHYSICS, APPLIED",Physics,16.3,1.0
INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,18.7,1.5
Military Medical Research,MILITARY MED RES,"MEDICINE, GENERAL & INTERNAL",Medicine,14.8,1.0
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,"PSYCHOLOGY, EXPERIMENTAL",Medicine,21.8,1.0
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,GENETICS & HEREDITY,Biology,18.2,1.0
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,"PSYCHOLOGY, BIOLOGICAL",Medicine,16.6,1.0
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,RESPIRATORY SYSTEM,Medicine,17.6,1.0
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology,16.1,1.0
CIRCULATION RESEARCH,CIRC RES,PERIPHERAL VASCULAR DISEASE,Medicine,20.3,1.0
NEURO-ONCOLOGY,NEURO-ONCOLOGY,ONCOLOGY,Medicine,14.9,1.0
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,20.2,1.5
ACTA NUMERICA,ACTA NUMER,MATHEMATICS,Mathematics,18.8,0.7
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,PSYCHOLOGY,Medicine,17.5,1.0
National Science Review,NATL SCI REV,MULTIDISCIPLINARY SCIENCES,Mathematics,18.6,0.7
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environmental Science,16.8,0.5
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,REMOTE SENSING,Engineering,15.6,1.5
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,16.2,1.5
Journal of Eastern European and Central Asian Research,J E EUR CENT ASIAN R,ECONOMICS,Mathematics,1.4,0.7
Journal of Low Power Electronics and Applications,J LOW POWER ELECT AP,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,,1.5
JOURNAL OF SEISMOLOGY,J SEISMOL,GEOCHEMISTRY & GEOPHYSICS,Geology,1.6,0.8
Journal of Thermal Science and Engineering Applications,J THERM SCI ENG APPL,THERMODYNAMICS,Physics,1.6,1.0
Lymphatic Research and Biology,LYMPHAT RES BIOL,PHYSIOLOGY,Biology,2.4,1.0
PACIFIC CONSERVATION BIOLOGY,PAC CONSERV BIOL,ECOLOGY,Environmental Science,1.5,0.5
TOWN PLANNING REVIEW,TOWN PLAN REV,URBAN STUDIES,Environmental Science,1.8,0.5
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,ASSAY DRUG DEV TECHN,PHARMACOLOGY & PHARMACY,Medicine,2.2,1.0
ATMOSPHERE-OCEAN,ATMOS OCEAN,OCEANOGRAPHY,Environmental Science,2.0,0.5
Birth Defects Research,BIRTH DEFECTS RES,TOXICOLOGY,Medicine,2.7,1.0
CANADIAN JOURNAL OF PLANT PATHOLOGY,CAN J PLANT PATHOL,PLANT SCIENCES,Biology,1.9,1.0
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,CELEST MECH DYN ASTR,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",Mathematics,1.8,0.7
Central European Public Administration Review,CENT EUR PUBLIC ADM,PUBLIC ADMINISTRATION,Mathematics,0.8,0.7
CULTURAL GEOGRAPHIES,CULT GEOGR,GEOGRAPHY,Environmental Science,1.9,0.5
HEAT TRANSFER ENGINEERING,HEAT TRANSFER ENG,THERMODYNAMICS,Physics,1.9,1.0
IEEE PERVASIVE COMPUTING,IEEE PERVAS COMPUT,TELECOMMUNICATIONS,Engineering,2.8,1.5
International Journal of Industrial Engineering Computations,INT J IND ENG COMP,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Mathematics,1.9,0.7
IRRIGATION AND DRAINAGE,IRRIG DRAIN,WATER RESOURCES,Environmental Science,1.7,0.5
JOURNAL OF NEAR INFRARED SPECTROSCOPY,J NEAR INFRARED SPEC,SPECTROSCOPY,Chemistry,1.8,1.5
Journal of Signal Processing Systems for Signal Image and Video Technology,J SIGNAL PROCESS SYS,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,1.5,1.5
PLANT MOLECULAR BIOLOGY REPORTER,PLANT MOL BIOL REP,PLANT SCIENCES,Biology,1.7,1.0
SOUTH AFRICAN JOURNAL OF ECONOMICS,S AFR J ECON,ECONOMICS,Mathematics,1.6,0.7
SYNAPSE,SYNAPSE,NEUROSCIENCES,Biology,1.9,1.0
Traffic Injury Prevention,TRAFFIC INJ PREV,TRANSPORTATION,Engineering,2.3,1.5
CLINICAL EEG AND NEUROSCIENCE,CLIN EEG NEUROSCI,PSYCHOLOGY,Medicine,1.9,1.0
Conservation & Society,CONSERV SOC,ENVIRONMENTAL STUDIES,Environmental Science,2.5,0.5
ECONOMICA,ECONOMICA,ECONOMICS,Mathematics,2.1,0.7
Journal of Clinical Medicine Research-Canada,J CLIN MED RES-CAN,"MEDICINE, GENERAL & INTERNAL",Medicine,,1.0
Journal of Electromagnetic Engineering and Science,J ELECTROMAGN ENG SC,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,1.4,1.5
NEUROREPORT,NEUROREPORT,NEUROSCIENCES,Biology,1.6,1.0
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,SCAND J GASTROENTERO,GASTROENTEROLOGY & HEPATOLOGY,Medicine,2.3,1.0
ANALYTICAL LETTERS,ANAL LETT,"CHEMISTRY, ANALYTICAL",Chemistry,1.9,1.5
Biointerphases,BIOINTERPHASES,"MATERIALS SCIENCE, BIOMATERIALS",Materials Science,1.9,1.5
Ethnobiology and Conservation,ETHNOBIOL CONSERV,BIODIVERSITY CONSERVATION,Environmental Science,1.5,0.5
Journal of Mind and Medical Sciences,J MIND MED SCI,"MEDICINE, GENERAL & INTERNAL",Medicine,0.9,1.0
Journal of Transport and Land Use,J TRANSP LAND USE,TRANSPORTATION,Engineering,2.5,1.5
Practice Periodical on Structural Design and Construction,PRACT PERIOD STRUCT,"ENGINEERING, CIVIL",Engineering,1.4,1.5
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,P I MECH ENG J-J ENG,"ENGINEERING, MECHANICAL",Engineering,1.8,1.5
Zdravstveno Varstvo,ZDRAV VARST,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,1.4,1.0
ANTICANCER RESEARCH,ANTICANCER RES,ONCOLOGY,Medicine,1.8,1.0
