No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
11,MIRAGE DETECTION BY AUTONOMOUS VEHICLES,"PERUMALLA SARASWATHI SAILAJA [IN] 
RAKSHIT SARBAJIT K [IN] 
VEMURI VENKATRAMA SIVA KUMAR [IN] 
PARVATHINA RAVI SANKAR [IN]",IBM [US],"US11878717B2 
US2023249710A1",2022-01-24,"B60W60/00 
G05B15/02 
G08G1/0967","B60W60/0015 (US) 
G05B15/02 (US) 
G06V20/58 (EP) 
G08G1/096725 (EP) 
G08G1/096741 (EP) 
G08G1/09675 (EP) 
G08G1/096758 (EP) 
G08G1/096775 (EP,US) 
G08G1/096783 (EP) 
G08G1/096791 (EP,US) 
G08G1/162 (EP) 
G08G1/163 (EP) 
G08G1/165 (EP) 
B60W2420/403 (US) 
B60W2554/801 (US) 
B60W2554/802 (US) 
B60W2556/40 (US) 
B60W2556/45 (US) 
B60W2556/65 (US) 
B60W2720/10 (US) 
B60W2720/12 (US)","2023-08-10 
2024-01-23",2023-07-27,85036423,,2023-08-10,2024-01-23,US11878717B2,"
US2023249710A1","['US', 'WO']","['US11878717B2', 'US2023249710A1', 'WO2023139162A1']"
12,MANAGEMENT OF MULTIPLE AUTONOMOUS VEHICLES,"MARCZUK KATARZYNA ANNA [SG] 
ALBERT MARC LARS LJUNGDAHL [SG] 
SPEISER KEVIN [US]",APTIV TECH LTD [BB],US2020042019A1,2018-08-02,"G05D1/02 
G06Q10/02 
G06Q50/30 
G08G1/00","G05D1/0214 (CN) 
G05D1/0221 (CN) 
G05D1/0223 (CN) 
G05D1/0236 (CN) 
G05D1/024 (CN) 
G05D1/0242 (CN) 
G05D1/0251 (CN) 
G05D1/0255 (CN) 
G05D1/0257 (CN) 
G05D1/0261 (CN) 
G05D1/0263 (CN) 
G05D1/0278 (CN) 
G05D1/028 (CN) 
G05D1/0285 (CN) 
G05D1/0295 (CN) 
G05D1/0297 (US) 
G06Q10/02 (EP,US) 
G06Q50/40 (EP,DK,US) 
G08G1/123 (DK) 
G08G1/202 (EP,US) 
G08G1/205 (EP) 
G05D1/02 (DK)",2020-02-06,2020-02-06,69228552,,2020-02-06,,US2020042019A1,,"['CN', 'DK', 'EP', 'US']","['CN110850866A', 'DK201870686A1', 'EP3605488A1', 'EP3605488B1', 'US2020042019A1']"
13,AUTONOMOUS ALL-TERRAIN VEHICLES FOR HERDING,"GRUNDEY JASON W [US] 
LOWERY JR  RICHARD M [US] 
MURASAWA NAOKI [US]",HONDA MOTOR CO LTD [JP],"US10663979B2 
US2020097023A1",2018-09-21,"A01K29/00 
G05D1/00 
G05D1/02 
G05F1/08","A01K29/00 (EP,US) 
A01K3/001 (EP,US) 
G05D1/0088 (US) 
G05D1/0246 (US) 
G05D1/0278 (EP,US) 
G05D1/0293 (EP) 
G05D1/0295 (EP,US)","2020-03-26 
2020-05-26",2020-03-26,69884267,,2020-03-26,2020-05-26,US10663979B2,"
US2020097023A1",['US'],"['US10663979B2', 'US2020097023A1']"
14,Transportation Network for Multi-featured Autonomous Vehicles,DÜRR MARTIN [DE],DROMOS GMBH [DE],US2023274645A1,2020-11-05,"B60W60/00 
G08G1/01 
G08G1/16","B60W60/0016 (US) 
B60W60/00272 (US) 
B60W60/00276 (US) 
G01C21/343 (EP) 
G05D1/0221 (EP) 
G05D1/0289 (EP) 
G05D1/0297 (EP) 
G08G1/0108 (US) 
G08G1/164 (EP,GB,US) 
G08G1/202 (EP,GB)",2023-08-31,2022-05-11,74046424,,2023-08-31,,US2023274645A1,,"['EP', 'GB', 'US', 'WO']","['EP4241150A1', 'GB202017517D0', 'GB2600717A', 'US2023274645A1', 'WO2022096634A1']"
15,AUTOMATIC TESTING OF AUTONOMOUS VEHICLES,"NIELSEN ERIK [US] 
KAUFMAN CHASE [US]",GM CRUISE HOLDINGS LLC [US],"US11794759B2 
US2021300393A1",2020-03-26,"B60W50/04 
G06N20/00 
G07C5/00 
G07C5/08 
B60W50/00","B60W50/045 (EP,US) 
B60W60/00 (EP) 
G05B19/042 (EP) 
G05B23/0237 (EP) 
G06N20/00 (US) 
G07C5/008 (US) 
G07C5/0808 (US) 
B60W2050/046 (EP) 
G05B2219/2637 (EP) 
G06N20/00 (EP) 
G07C5/008 (EP)","2021-09-30 
2023-10-24",2021-09-30,77855382,,2021-09-30,2023-10-24,US11794759B2,"
US2021300393A1",['US'],"['US11794759B2', 'US2021300393A1', 'US2024010212A1']"
16,MANAGING AUTONOMOUS VEHICLES,DELIZIO ANDREW [US],DELIZIO ANDREW [US],US2021064064A1,2019-08-26,"B60W30/09 
B60W60/00 
G05D1/00 
G05D1/02 
G05D1/10","B60W30/09 (US) 
B60W60/0015 (US) 
G05D1/0088 (US) 
G05D1/0094 (EP,US) 
G05D1/0253 (US) 
G05D1/0297 (EP) 
G05D1/104 (EP) 
G05D1/106 (US) 
G08G1/0965 (EP) 
G08G1/096791 (EP) 
B60W2554/4041 (US) 
B60W2554/4042 (US) 
B60W2554/4044 (US) 
B60W2556/45 (US) 
B64U2101/30 (EP,US)",2021-03-04,2021-03-04,74679746,,2021-03-04,,US2021064064A1,,['US'],['US2021064064A1']
17,CONTROLLING AUTONOMOUS VEHICLES TO OPTIMIZE TRAFFIC CHARACTERISTICS,"SLUSAR MARK [US] 
KUMAR SURENDER [US] 
CHINTAKINDI SUNIL [US]",ALLSTATE INSURANCE CO [US],"US11915318B2 
US2021217101A1",2016-12-20,"G06Q40/08 
G08G1/00 
G08G1/01 
G08G1/0962 
G08G1/0967 
G08G1/0968","G06Q40/08 (EP,US) 
G08G1/0112 (EP,US) 
G08G1/0129 (EP,US) 
G08G1/0145 (EP,US) 
G08G1/0962 (US) 
G08G1/096716 (EP,US) 
G08G1/096741 (EP,US) 
G08G1/096775 (EP,US) 
G08G1/096816 (EP,US) 
G08G1/096838 (EP,US) 
G08G1/20 (EP,US)","2021-07-15 
2024-02-27",2018-04-17,61872693,,2021-07-15,2024-02-27,US11915318B2,"
US2021217101A1","['US', 'WO']","['US10970788B2', 'US11915318B2', 'US2019188800A1', 'US2021217101A1', 'US9947052B1', 'WO2018118920A1']"
18,Autonomous Clustering for Light Electric Vehicles,"HYDE SEAN [US] 
CAMERON RONNIE [US] 
MEYHOFER ERIC [US] 
FOLEY NICK [US] 
WELLS ALAN HUGH [US]",UBER TECHNOLOGIES INC [US],US2021124348A1,2019-10-23,"G01C21/20 
G05D1/00 
G05D1/02","G01C21/20 (US) 
G01C21/3438 (EP) 
G05D1/0027 (US) 
G05D1/0033 (US) 
G05D1/0246 (EP) 
G05D1/0278 (US) 
G05D1/0297 (EP)",2021-04-29,2021-04-29,75585949,,2021-04-29,,US2021124348A1,,['US'],['US2021124348A1']
19,ROUTING BOTH AUTONOMOUS AND NON-AUTONOMOUS VEHICLES,"RAMOT DANIEL [US] 
SHOVAL OREN [IL] 
MARCOVITCH SHMULIK [IL] 
ABRAMS ERIN [US]",VIA TRANSP INC [US],"US11107352B2 
US2020160709A1",2017-07-26,"G01C21/34 
G06Q10/02 
G06Q50/30 
G08G1/00 
G08G1/127 
B60L53/66 
B60W60/00 
G06F16/29 
G06N5/04 
G06Q10/04 
G06Q10/06 
G06Q10/10 
G06Q30/02 
G06T7/215 
G07C5/00 
G08B23/00 
H04W4/024 
G01S19/42","B60L53/66 (US) 
B60W60/00253 (US) 
G01C21/343 (US) 
G01C21/3438 (EP,US) 
G01C21/3469 (EP,US) 
G06F16/29 (US) 
G06N5/04 (US) 
G06Q10/02 (US) 
G06Q10/047 (US) 
G06Q10/06 (EP) 
G06Q10/06312 (US) 
G06Q10/06315 (US) 
G06Q10/109 (US) 
G06Q30/0205 (US) 
G06Q50/40 (EP,US) 
G06T7/215 (US) 
G07C5/008 (US) 
G08G1/005 (EP) 
G08G1/127 (US) 
G08G1/20 (US) 
G08G1/202 (EP,US) 
H04W4/02 (EP) 
H04W4/024 (US) 
H04W4/44 (EP) 
G01S19/42 (US) 
G06T2207/30242 (US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)","2020-05-21 
2021-08-31",2019-01-31,63294433,,2020-05-21,2021-08-31,US11107352B2,"
US2020160709A1","['EP', 'JP', 'US', 'WO']","['EP3472563A1', 'EP3574459A1', 'EP3631707A1', 'EP3659078A1', 'EP3659078B1', 'EP3738085A1', 'EP3776395A1', 'JP2019525299A', 'JP2020522789A', 'JP2022106777A', 'JP7258777B2', 'JP7432649B2', 'US10168167B2', 'US10168168B2', 'US10458803B2', 'US10677602B2', 'US11107352B2', 'US11620592B2', 'US11674811B2', 'US11830363B2', 'US11859988B2', 'US2017365030A1', 'US2018209803A1', 'US2018209804A1', 'US2018209805A1', 'US2018209806A1', 'US2018211124A1', 'US2018211185A1', 'US2018211186A1', 'US2018211541A1', 'US2019311307A1', 'US2020104965A1', 'US2020158525A1', 'US2020160476A1', 'US2020160477A1', 'US2020160478A1', 'US2020160709A1', 'US2020333146A1', 'US2020334987A1', 'US2021223051A1', 'US2021295706A1', 'US2022003561A1', 'US2022004199A1', 'US2022120572A9', 'US2022229442A9', 'US2023140268A1', 'WO2017223031A1', 'WO2018140505A1', 'WO2018217640A1', 'WO2019023324A1', 'WO2019136341A1', 'WO2019199766A1', 'WO2021202851A1']"
20,AUTONOMOUS VEHICLES AS A SOCIAL NETWORK PLATFORM,"LIANG BIYONKA [US] 
LIANG PING [US]","LIANG BIYONKA [US] 
LIANG PING [US]","US10339814B2 
US2018330622A1",2017-05-10,"G05D1/02 
G06Q10/06 
G06Q50/00 
G08G1/00 
G08G1/16 
H04W4/21 
H04W4/40 
G01S13/93","G05D1/0291 (US) 
G06Q10/06311 (EP,US) 
G06Q50/01 (EP,US) 
G08G1/163 (US) 
G08G1/22 (EP,US) 
H04W4/21 (EP,US) 
H04W4/40 (EP,US) 
G01S2013/9325 (US)","2018-11-15 
2019-07-02",2018-11-15,64097296,,2018-11-15,2019-07-02,US10339814B2,"
US2018330622A1",['US'],"['US10339814B2', 'US2018330319A1', 'US2018330622A1']"
21,Computing Framework for Batch Routing of Autonomous Vehicles,"MORTAZAVI ALI [US] 
PEDERSEN LIAM [US] 
SIERHUIS MAARTEN [US]","NISSAN NORTH AMERICA INC [US] 
RENAULT SAS [FR]","US11403954B2 
US2021125500A1",2018-01-31,"G08G1/00 
G08G1/01 
G08G1/0967 
G08G1/0968","G01C21/3415 (EP) 
G08G1/0116 (EP) 
G08G1/0133 (US) 
G08G1/0141 (EP) 
G08G1/0145 (EP,US) 
G08G1/096725 (EP,US) 
G08G1/096775 (EP) 
G08G1/096844 (EP,US) 
G08G1/207 (EP) 
G08G1/22 (EP,US)","2021-04-29 
2022-08-02",2019-08-08,67479514,,2021-04-29,2022-08-02,US11403954B2,"
US2021125500A1","['CN', 'EP', 'JP', 'US', 'WO']","['CN111886611A', 'CN111886611B', 'EP3762926A1', 'EP3762926A4', 'JP2021512304A', 'US11403954B2', 'US2021125500A1', 'WO2019152014A1']"
22,TELEOPERATION OF AUTONOMOUS VEHICLES,"ALALAO AYMAN [US] 
CHANG HSUN-HSIEN [US] 
LIU SHIH-YUAN [US]",MOTIONAL AD LLC [US],US2022075368A1,2018-08-02,G05D1/00,"G05D1/00 (DK) 
G05D1/0022 (EP,US) 
G05D1/0027 (EP) 
G05D1/0055 (US) 
G05D1/0088 (US) 
G05D1/0276 (CN) 
G08C17/00 (EP) 
H04W4/024 (EP) 
H04W4/18 (EP) 
H04W4/38 (EP) 
H04W4/40 (EP) 
G08G1/16 (DK)",2022-03-10,2020-02-06,69227725,,2022-03-10,,US2022075368A1,,"['CN', 'DK', 'EP', 'US']","['CN110850865A', 'CN110850865B', 'CN115202362A', 'DK180657B1', 'DK201870685A1', 'EP3605257A1', 'EP3605257B1', 'EP3872595A1', 'EP3872595B1', 'EP4152116A1', 'EP4152116B1', 'US11181905B2', 'US2020041994A1', 'US2022075368A1']"
23,GROUP DRIVING STYLE LEARNING FRAMEWORK FOR AUTONOMOUS VEHICLES,"JIANG YIFEI [US] 
LI DONG [US] 
TAO JIAMING [US] 
HU JIANGTAO [US] 
LI LIYUN [US] 
YANG GUANG [US] 
WANG JINGAO [US]",BAIDU USA LLC [US],"US10049328B2 
US2018107942A1",2016-10-13,"G05D1/00 
G06N20/00","B60W30/09 (US) 
B60W30/0956 (EP,US) 
B60W40/09 (CN) 
B60W60/0016 (US) 
G05D1/0011 (US) 
G05D1/021 (CN) 
G05D1/0291 (EP,US) 
G06N20/00 (EP,CN,US) 
G08G1/0112 (EP,US) 
G08G1/0129 (EP,US) 
G08G1/0145 (EP,US) 
G08G1/096725 (EP,CN,US) 
G08G1/096775 (EP,US) 
G08G1/096791 (EP,US) 
B60W2050/0075 (EP,US) 
B60W2420/403 (US) 
B60W2420/408 (US) 
B60W2552/53 (US) 
B60W2554/20 (US) 
B60W2554/4029 (US) 
B60W2554/80 (US) 
B60W2556/45 (EP,US) 
B60W2556/65 (EP,US)","2018-04-19 
2018-08-14",2018-04-18,59846310,,2018-04-19,2018-08-14,US10049328B2,"
US2018107942A1","['CN', 'EP', 'JP', 'US']","['CN107943016A', 'CN107943016B', 'EP3309640A2', 'EP3309640A3', 'EP3309640B1', 'JP2018063703A', 'JP6517891B2', 'US10049328B2', 'US11238733B2', 'US2018107942A1', 'US2018349802A1']"
24,DISTRIBUTED TRAFFIC SCHEDULING FOR AUTONOMOUS SELF-DRIVING VEHICLES,"TENG QI MING [CN] 
HWANG JINHO [US]",IBM [US],"US10915116B2 
US2020183419A1",2018-12-06,"G05D1/00 
G05D1/02 
G06N20/10 
G08G1/00 
H04W4/46 
B60K31/00 
B60W30/165 
G01C21/34 
G06Q40/08 
G08G1/01 
G08G1/0967 
G08G1/16","G05D1/0088 (US) 
G05D1/0291 (US) 
G06N20/10 (EP,US) 
G08G1/22 (EP,US) 
H04W4/46 (EP,US) 
G06N3/08 (EP)","2020-06-11 
2021-02-09",2020-06-11,70970417,,2020-06-11,2021-02-09,US10915116B2,"
US2020183419A1",['US'],"['US10915116B2', 'US2020183419A1']"
25,INFRASTRUCTURE MONITORING SYSTEM ON AUTONOMOUS VEHICLES,"FERGUSON DAVID [US] 
ZHU JIAJUN [US] 
LEIPOLD COSIMO [US] 
JIRAPINYO PICHAYUT [US]",NURO INC [US],"US11467574B2 
US2019026886A1",2017-07-20,"G05D1/00 
G06K9/00 
G06T7/00 
G01C21/34 
G05D1/02 
G06F16/29 
G06Q30/02 
G06V20/56 
G06V20/58 
G06V20/59 
G08G1/00 
G08G1/01 
G08G1/017 
G08G1/14 
G06N20/00 
G06N5/02","G01C21/3438 (EP,US) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G05D1/0291 (US) 
G05D1/0297 (EP,US) 
G06F16/29 (US) 
G06Q30/0205 (EP,US) 
G06T7/0004 (US) 
G06V20/56 (EP,US) 
G06V20/582 (US) 
G06V20/584 (US) 
G06V20/586 (US) 
G06V20/588 (US) 
G06V20/597 (US) 
G08G1/0112 (EP,US) 
G08G1/0175 (EP,US) 
G08G1/143 (EP,US) 
G08G1/148 (US) 
G08G1/20 (EP,US) 
G06N20/00 (EP,US) 
G06N5/025 (EP,US) 
G06T2207/10044 (US) 
G06T2207/30184 (US) 
G06T2207/30256 (US)","2019-01-24 
2022-10-11",2019-01-24,65016424,,2019-01-24,2022-10-11,US11467574B2,"
US2019026886A1","['CA', 'CN', 'EP', 'JP', 'US', 'WO']","['CA3070186A1', 'CN110914779A', 'EP3655836A1', 'EP3655836A4', 'JP2020527805A', 'US10331124B2', 'US11449050B2', 'US11467574B2', 'US2019025820A1', 'US2019026886A1', 'US2019043355A1', 'WO2019018695A1']"
26,Generating state information for autonomous vehicles,"CURLANDER JAMES CHRISTOPHER [US] 
MISHRA PRAGYANA K [US] 
RUSSELL RYAN SCOTT [US] 
SIEGEL HILLIARD BRUCE [US] 
CANAVOR DARREN ERNEST [US] 
LAUKA WESLEY SCOTT [US] 
TAPPEN MARSHALL FRIEND [US] 
GRAYBILL JULES COOK [US] 
MADAN UDIT [US] 
PARKER ERIK RESCH [US] 
NORWOOD JONATHAN BLAIR [US] 
BATHURST ALLAN SCOTT [US]",AMAZON TECH INC [US],US10048700B1,2015-12-01,"G01C22/00 
G05D1/00 
G05D1/02 
G08G1/01 
G08G1/16","G05D1/0297 (EP,US) 
G06Q10/06 (EP,US) 
G06Q10/20 (EP,US) 
G08G1/0112 (EP,US) 
G08G1/0116 (EP,US) 
G08G1/0133 (EP,US) 
G08G1/0145 (EP,US) 
G08G1/164 (EP,US) 
G06Q10/00 (EP,US) 
G08G1/166 (EP,US)",2018-08-14,2018-08-14,63078828,,2018-08-14,,US10048700B1,,['US'],['US10048700B1']
27,PROVIDING WIRELESS INTERNET ACCESS USING AUTONOMOUS VEHICLES,"HIGH DONALD R [US] 
ATCHLEY MICHAEL D [US] 
O'BRIEN JOHN J [US]","WAL MART STORES INC [US] 
WALMART APOLLO LLC [US]","US10305576B2 
US2017302362A1",2016-04-13,"H04W24/08 
H04W48/16 
H04B7/185 
H04L29/08 
H04W4/02 
H04W4/029 
H04W24/02 
H04W88/08 
H04W84/00 
H04W84/12 
H04W48/16","H04B7/18502 (EP,GB,US) 
H04L67/306 (EP,GB,US) 
H04W24/02 (EP,GB,US) 
H04W4/02 (EP,GB,US) 
H04W4/029 (EP,GB,US) 
H04W48/16 (EP,US) 
H04W84/005 (EP,GB,US) 
H04W84/12 (EP,GB,US)","2017-10-19 
2019-05-28",2017-10-19,60039616,,2017-10-19,2019-05-28,US10305576B2,"
US2017302362A1","['CA', 'CN', 'GB', 'JP', 'MX', 'US', 'WO']","['CA3020419A1', 'CN109479229A', 'GB201816783D0', 'GB2563558A', 'GB2563558B', 'JP2019521536A', 'MX2018012482A', 'US10305576B2', 'US2017302362A1', 'US2019238214A1', 'WO2017180561A1']"
