,position,title,data_cid,link,publication,snippet,type,inline_links,resource,authors
10,11,LangChain Unleashed: Advancing Education Beyond ChatGPT's Limits,6RbIFpa1op0J,https://www.researchgate.net/profile/Ian-Frank-3/publication/377748754_LangChain_Unleashed_Advancing_Education_Beyond_ChatGPT's_Limits/links/65b5880434bbff5ba7cd300e/LangChain-Unleashed-Advancing-Education-Beyond-ChatGPTs-Limits.pdf,"K Matsuda, I Frank - 2024 - researchgate.net","We present our work on harnessing the potential of Large Language Model (LLM) applications in education, capitalizing especially on LangChain’s capabilities to foster synergy among …",PDF,"{'cited_by': {'cites_id': '11358840866413745897', 'total': 3, 'link': 'https://scholar.google.com/scholar?cites=11358840866413745897&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '11358840866413745897', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=11358840866413745897&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:6RbIFpa1op0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:6RbIFpa1op0J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'researchgate.net', 'format': 'PDF', 'link': ""https://www.researchgate.net/profile/Ian-Frank-3/publication/377748754_LangChain_Unleashed_Advancing_Education_Beyond_ChatGPT's_Limits/links/65b5880434bbff5ba7cd300e/LangChain-Unleashed-Advancing-Education-Beyond-ChatGPTs-Limits.pdf""}","[{'name': 'I Frank', 'id': 'BJhG6VsAAAAJ', 'link': 'https://scholar.google.com/citations?user=BJhG6VsAAAAJ&hl=en&num=20&oi=sra'}]"
11,12,An effective query system using LLMs and LangChain,rrSPnEFi6ZAJ,https://www.researchgate.net/profile/Jithendra-Sai-Pappuri/publication/372529063_An_Effective_Query_System_Using_LLMs_and_LangChain/links/64bcabbac41fb852dd9384d5/An-Effective-Query-System-Using-LLMs-and-LangChain.pdf,"PJ Sai - International Journal of Engineering Research & …, 2023 - researchgate.net","… LangChain overcomes these challenges by utilizing advanced … LangChain also allows users to save queries, create … The features of LangChain increase overall efficiency and …",PDF,"{'cited_by': {'cites_id': '10441985244974265518', 'total': 12, 'link': 'https://scholar.google.com/scholar?cites=10441985244974265518&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:rrSPnEFi6ZAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:rrSPnEFi6ZAJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'researchgate.net', 'format': 'PDF', 'link': 'https://www.researchgate.net/profile/Jithendra-Sai-Pappuri/publication/372529063_An_Effective_Query_System_Using_LLMs_and_LangChain/links/64bcabbac41fb852dd9384d5/An-Effective-Query-System-Using-LLMs-and-LangChain.pdf'}","[{'name': 'PJ Sai', 'id': 'GklZxLQAAAAJ', 'link': 'https://scholar.google.com/citations?user=GklZxLQAAAAJ&hl=en&num=20&oi=sra'}]"
12,13,Question Generation from PDF using LangChain,FR2KyyeGvIAJ,https://ieeexplore.ieee.org/abstract/document/10499105/,"D Madhav, S Nijai, U Patel… - 2024 11th International …, 2024 - ieeexplore.ieee.org","… into LangChain, a probabilistic language model. Using its contextual awareness and knowledge patterns, LangChain … These results demonstrate how successfully LangChain works to …",,"{'cited_by': {'cites_id': '9276436837953051925', 'total': 4, 'link': 'https://scholar.google.com/scholar?cites=9276436837953051925&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:FR2KyyeGvIAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
13,14,Enhancing Q&A Systems with Multilingual Text Conversion and Speech Integration: Harnessing the Power of LangChain and Large Language Models,ETS2GDEeSaAJ,https://ieeexplore.ieee.org/abstract/document/10816877/,"K Priya, A Kamath, KM Chandan… - 2024 8th …, 2024 - ieeexplore.ieee.org",… the LangChain framework can effectively address these challenges. By building a custom LangChain … LangChain’s flexible architecture overcomes many of the common drawbacks of …,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:ETS2GDEeSaAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'A Kamath', 'id': '_r3-R54AAAAJ', 'link': 'https://scholar.google.com/citations?user=_r3-R54AAAAJ&hl=en&num=20&oi=sra'}]"
14,15,Constructing the ChatGPT for PDF files with langchain–AI,ITHhBj9F7FkJ,https://ieeexplore.ieee.org/abstract/document/10544643/,"TP Jacob, BLS Bizotto… - 2024 International …, 2024 - ieeexplore.ieee.org","… Through this research work, experienced LLMs, their drawbacks, and how the LangChain framework addresses some of these issues by creating a custom LangChain PDF chatbot in …",,"{'cited_by': {'cites_id': '6479630100879978785', 'total': 10, 'link': 'https://scholar.google.com/scholar?cites=6479630100879978785&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:ITHhBj9F7FkJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'TP Jacob', 'id': 'A2kJRxYAAAAJ', 'link': 'https://scholar.google.com/citations?user=A2kJRxYAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'BLS Bizotto', 'id': '25TgAuwAAAAJ', 'link': 'https://scholar.google.com/citations?user=25TgAuwAAAAJ&hl=en&num=20&oi=sra'}]"
15,16,Current Research and Future Directions for Off-Site Construction through LangChain with a Large Language Model,QriUvAvDL8IJ,https://www.mdpi.com/2075-5309/14/8/2374,"J Jeong, D Gil, D Kim, J Jeong - Buildings, 2024 - mdpi.com","… LangChain … that LangChain can rapidly and effectively summarize research, making it a valuable tool for literature reviews. This study advocates the broader application of LangChain in …",HTML,"{'cited_by': {'cites_id': '13992617022439340098', 'total': 5, 'link': 'https://scholar.google.com/scholar?cites=13992617022439340098&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '13992617022439340098', 'total': 6, 'link': 'https://scholar.google.com/scholar?cluster=13992617022439340098&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:QriUvAvDL8IJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:QriUvAvDL8IJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'mdpi.com', 'format': 'HTML', 'link': 'https://www.mdpi.com/2075-5309/14/8/2374'}","[{'name': 'J Jeong', 'id': 'oXVSOHAAAAAJ', 'link': 'https://scholar.google.com/citations?user=oXVSOHAAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'D Gil', 'id': 'AFBk5TUAAAAJ', 'link': 'https://scholar.google.com/citations?user=AFBk5TUAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'D Kim', 'id': 'lxt7Q74AAAAJ', 'link': 'https://scholar.google.com/citations?user=lxt7Q74AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'J Jeong', 'id': 'fzLiIUQAAAAJ', 'link': 'https://scholar.google.com/citations?user=fzLiIUQAAAAJ&hl=en&num=20&oi=sra'}]"
16,17,Learning in LangChain,70_kLNrZimsJ,https://books.google.com/books?hl=en&lr=&id=NlJTEQAAQBAJ&oi=fnd&pg=PA29&dq=Langchain&ots=zKIO_2uPq1&sig=UpabwkuIrpYVdxhtyTq-HPUzJA8,"D Dave, Y Agarwal, H Chouhan… - World Congress on …, 2025 - books.google.com",… (LLM) framework LangChain. We explain the nuances of using LangChain so that our … We enable the model to adjust its replies according to the course topic by giving LangChain …,,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:70_kLNrZimsJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
17,18,"Building Customized Chatbots for Document Summarization and Question Answering using Large Language Models using a Framework with OpenAI, Lang chain …",PuvAg0yDu_gJ,http://ray.yorksj.ac.uk/id/eprint/9863/,"S Pokhrel, S Ganesan, T Akther… - Journal of Information …, 2024 - ray.yorksj.ac.uk",This research presents a comprehensive framework for building customized chatbots empowered by large language models (LLMs) to summarize documents and answer user …,,"{'cited_by': {'cites_id': '17923063506702232382', 'total': 9, 'link': 'https://scholar.google.com/scholar?cites=17923063506702232382&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '17923063506702232382', 'total': 4, 'link': 'https://scholar.google.com/scholar?cluster=17923063506702232382&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:PuvAg0yDu_gJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:PuvAg0yDu_gJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'yorksj.ac.uk', 'format': 'PDF', 'link': 'https://ray.yorksj.ac.uk/id/eprint/9863/1/06.pdf'}","[{'name': 'S Pokhrel', 'id': '36hMuhwAAAAJ', 'link': 'https://scholar.google.com/citations?user=36hMuhwAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Ganesan', 'id': 'tuErwCcAAAAJ', 'link': 'https://scholar.google.com/citations?user=tuErwCcAAAAJ&hl=en&num=20&oi=sra'}]"
18,19,Design and Implementation of LangChain-based Chatbot,i_Y8GXBGWc0J,https://ieeexplore.ieee.org/abstract/document/10873270/,"H Zhang, Z Li, F Liu, Y He, Z Cao… - … International Seminar on …, 2024 - ieeexplore.ieee.org","This paper takes the digital materials such as product data manual and videos as a local knowledge base (LKB), and utilizes the learning ability of large-scale language models (LLMs) …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:i_Y8GXBGWc0J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
19,20,Breast ultrasound report generation using langchain,OiEGHG3agqYJ,https://arxiv.org/abs/2312.03013,"J Huh, HJ Park, JC Ye - arXiv preprint arXiv:2312.03013, 2023 - arxiv.org","… through a LangChain using Large Language Models (LLM), into the breast reporting process. Through a combination of designated tools and text generation through LangChain, our …",,"{'cited_by': {'cites_id': '11998392519424876858', 'total': 6, 'link': 'https://scholar.google.com/scholar?cites=11998392519424876858&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '11998392519424876858', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=11998392519424876858&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:OiEGHG3agqYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:OiEGHG3agqYJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2312.03013'}","[{'name': 'J Huh', 'id': 'jT1cYdQAAAAJ', 'link': 'https://scholar.google.com/citations?user=jT1cYdQAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'JC Ye', 'id': 'HNMjoNEAAAAJ', 'link': 'https://scholar.google.com/citations?user=HNMjoNEAAAAJ&hl=en&num=20&oi=sra'}]"
20,1,Leveraging LangChain Framework and Large Language Models for Conversational Chatbot Development,FZhsikOtlJYJ,https://link.springer.com/chapter/10.1007/978-3-031-82386-2_19,"R Ashish Tarun, B Priyadarshini, M Sneha… - … Research Conference on …, 2024 - Springer","Conversational AI technologies have transformed human- machine interactions in educational settings, such as the SRM Institute of Science and Technology, where intelligent chatbots …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:FZhsikOtlJYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,
21,2,LLM-Based Custom Chatbot Using LangChain,7qgvTi8GPvUJ,https://link.springer.com/chapter/10.1007/978-981-97-3588-4_22,"D Das, RL Rath, T Singh, S Mishra, V Malik… - International Conference …, 2024 - Springer","… Our LangChain app has been designed in such a way that it can ease natural language … Here we see that LangChain has the lowest bar, thus indicating that LangChain has better …",,"{'cited_by': {'cites_id': '17671568788093380846', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=17671568788093380846&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'versions': {'cluster_id': '17671568788093380846', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=17671568788093380846&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:7qgvTi8GPvUJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,"[{'name': 'S Mishra', 'id': 'm9kbIrsAAAAJ', 'link': 'https://scholar.google.com/citations?user=m9kbIrsAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'V Malik', 'id': '5q_fEN4AAAAJ', 'link': 'https://scholar.google.com/citations?user=5q_fEN4AAAAJ&hl=en&num=20&oi=sra'}]"
22,3,"Development of a ChatBot model for health telecare: Integration of LangChain, embeddings with OpenAI, and Pinecone using the question answering technique",I-vEcGL7HZgJ,https://jart.icat.unam.mx/index.php/jart/article/view/2367,"O Cárdenas, S Falconí, E Tusa… - Journal of Applied …, 2024 - jart.icat.unam.mx","This study was dedicated to the development of an advanced model for a medical ChatBot, aimed at optimizing Telecare in healthcare. Cutting-edge technologies such as LangChain, …",,"{'cited_by': {'cites_id': '10961193468306975523', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=10961193468306975523&as_sdt=5,50&sciodt=0,50&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:I-vEcGL7HZgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:I-vEcGL7HZgJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,50'}","{'name': 'unam.mx', 'format': 'PDF', 'link': 'https://jart.icat.unam.mx/index.php/jart/article/download/2367/1114'}",
23,4,"Multi-document Question Answering Using Transformers, LANGCHAIN",jKFirCwQNuYJ,https://link.springer.com/chapter/10.1007/978-981-97-4359-9_46,"LS Reddy, SR Vinta - International Conference on Machine Vision and …, 2023 - Springer","We integrated our lives with advanced technologies like gpt, cloud technology but still we are facing problems with retrieving answers and data with the questions we have, especially …",,"{'versions': {'cluster_id': '16588464061522551180', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=16588464061522551180&hl=en&num=20&as_sdt=0,50'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:jKFirCwQNuYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,50'}",,"[{'name': 'SR Vinta', 'id': '6Os6-z0AAAAJ', 'link': 'https://scholar.google.com/citations?user=6Os6-z0AAAAJ&hl=en&num=20&oi=sra'}]"
