No,Title,Inventors,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,first applicant,second applicant,first applicant type,second applicant type,Patent Age,patent cost,Patent Value,Market Rate,Mean Value
15,SYSTEM AND METHDO FOR CONTROLLING HYDROGEN ELECTRIC VEHICLE FOR USING AUXILIARY BREAK,SHIN JIN CHEOL,KR20210053589A,2019-11-04,"['B60L58/12', 'B60L58/40', 'B60L7/10', 'B60T13/74']","['B60L58/12 (KR)', 'B60L58/40 (KR)', 'B60L7/10 (KR)', 'B60T13/74 (KR)', 'B60L2240/62 (KR)', 'B60T2201/03 (KR)', 'B60T2270/60 (KR)', 'B60Y2200/91 (KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/72 (EP)']",2021-05-12,2021-05-12,75918832,2021-05-12,,KR20210053589A,,KR,,2021,2019,KR,HYUNDAI MOTOR CO LTD [KR] ,KIA CORP [KR],Company - Limited,Company - General,6,7500,4000.0,5190.485829959514,5190.485829959514
16,New energy electric vehicle charging pile for city,"XU XIJIE 
YUAN PENGFEI","CN108674229A 
CN108674229B",2018-05-24,"['B60S5/02', 'B60L50/53', 'B60L53/31', 'B60L53/51', 'H02J7/00']","['B60L53/14 (CN)', 'B60L53/30 (CN)', 'B60L53/31 (CN)', 'B60L53/51 (CN)', 'B60S5/02 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']","2018-10-19 
2019-11-19",2018-10-19,63808137,2018-10-19,2019-11-19,CN108674229A,CN108674229B,CN,CN,2018,2018,,TAIZHOU LIWEI ENVIRONMENTAL PROTECTION TECH CO LTD,,Company - Limited,Unknown,7,5200,2000.0,5190.485829959514,5190.485829959514
17,System and Method for Renewable Energy Based EV Charging and Hydrogen Fueling,"JORGENSON JOEL A [US] 
JORGENSON ADAM C [US] 
NELSON THOMAS W [US] 
HAALAND NEAL O [US]",US2023256848A1,2022-02-11,"['B60L53/54', 'B60L53/65', 'B60L53/68', 'B60S5/02', 'C25B1/04', 'C25B15/08', 'H01M10/44', 'H01M8/04082', 'H01M8/0438', 'H01M8/04537', 'H01M8/04858', 'H01M8/0656']","['B60L53/305 (EP)', 'B60L53/51 (EP)', 'B60L53/52 (EP)', 'B60L53/54 (EP,US)', 'B60L53/65 (US)', 'B60L53/68 (EP,US)', 'B60S5/02 (US)', 'C25B1/04 (EP,US)', 'C25B15/08 (US)', 'H01M10/44 (EP,US)', 'H01M16/006 (EP)', 'H01M8/04201 (EP,US)', 'H01M8/04425 (EP,US)', 'H01M8/04626 (EP,US)', 'H01M8/04947 (EP,US)', 'H01M8/0656 (EP,US)', 'B60L2210/40 (US)', 'C25B15/00 (EP)', 'H01M2220/20 (EP,US)', 'H01M2250/10 (EP,US)', 'H01M2250/20 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2023-08-17,2023-08-17,87560027,2023-08-17,,US2023256848A1,,US,,2023,2022,US,BWR INNOVATIONS LLC [US],,Company - General,Unknown,3,6000,3500.0,5190.485829959514,5190.485829959514
18,Off-grid electric vehicle charging pile based on ammonia-hydrogen conversion,"JING DENGWEI 
WANG WEIDING 
SU JINZHAN 
LIU MAOCHANG 
JIANG BIAO 
ZHANG XIAOHAN 
SHI JINWEN",CN117124905A,2023-08-30,"['B60L53/54', 'B60L53/57', 'H01M8/0606']","['B60L53/54 (CN)', 'B60L53/57 (CN)', 'H01M8/0606 (CN)']",2023-11-28,2023-11-28,88861021,2023-11-28,,CN117124905A,,CN,,2023,2023,,UNIV XI AN JIAOTONG,,University/Research Institution,Unknown,2,5800,4000.0,5190.485829959514,5190.485829959514
19,Vehicle charging system capable of hydrogen and electric charging,HONG SEONG HO,KR102511398B1,2022-09-20,"['B60L3/00', 'B60L53/16', 'B60L53/51', 'B60L53/54', 'B60L53/57', 'B60L58/30', 'H01M8/04082', 'H05K7/20']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2023-03-20,2023-03-20,85796445,2023-03-20,,KR102511398B1,,KR,,2023,2022,KR,HOGREENAIR CO LTD [KR],,Company - Limited,Unknown,3,5000,4000.0,5190.485829959514,5190.485829959514
20,Hydrogen plug-in hybrid electric vehicle,"TAN PIQIANG 
YAO CHAOJIE",CN115431743A,2022-09-22,"['B60K15/01', 'B60K15/03', 'B60K6/32']","['B60K15/013 (CN)', 'B60K15/03006 (CN)', 'B60K6/32 (CN)', 'B60K2015/03315 (CN)']",2022-12-06,2022-12-06,84250059,2022-12-06,,CN115431743A,,CN,,2022,2022,,UNIV TONGJI,,University/Research Institution,Unknown,3,5800,4000.0,5190.485829959514,5190.485829959514
21,Method and means for electric vehicle battery charging,VAANANEN MIKKO KALERVO [FI],US2022258626A1,2021-02-17,"['B60L50/60', 'B60L53/14', 'H01B12/04', 'H01B12/12', 'H01M50/522']","['B60L50/60 (US)', 'B60L53/14 (US)', 'B60L53/18 (EP)', 'B60L53/302 (EP)', 'H01B12/04 (US)', 'H01B12/12 (US)', 'H01M50/522 (EP,US)', 'H01B12/16 (EP,US)', 'H01M2220/20 (EP,US)', 'H10N60/855 (US)', 'H10N60/857 (US)']",2022-08-18,2022-08-18,82801023,2022-08-18,,US2022258626A1,,US,,2022,2021,FI,VAANANEN MIKKO KALERVO [FI],,Individual Inventor,Unknown,4,6000,3500.0,5190.485829959514,5190.485829959514
22,Wind-light-electricity-hydrogen storage integrated charging and hydrogen charging system for expressway electric vehicle,"GUO WENLI 
GUO YEHENG 
KONG RUILEI 
LI PENGCHENG 
WANG MOLI",CN113085622A,2021-03-15,"['B60L53/31', 'B60L53/51', 'B60L53/52', 'F17C13/00', 'F17C5/06', 'F17C7/00', 'F17D1/04', 'F17D1/07', 'F17D1/20', 'H01M8/04082', 'H02J15/00']","['B60L53/31 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'F17C13/00 (CN)', 'F17C5/06 (CN)', 'F17C7/00 (CN)', 'F17D1/04 (CN)', 'F17D1/07 (CN)', 'F17D1/20 (CN)', 'H01M8/04201 (CN)', 'H02J15/008 (CN)', 'F17C2221/012 (CN)', 'F17C2223/0123 (CN)', 'F17C2225/0123 (CN)', 'F17C2227/0157 (CN)', 'F17C2265/065 (CN)', 'Y02E60/32 (EP)', 'Y02E60/34 (EP)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02E70/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)']",2021-07-09,2021-07-09,76667189,2021-07-09,,CN113085622A,,CN,,2021,2021,,HENAN HENGJU NEW ENERGY EQUIPMENT CO LTD,,Company - Limited,Unknown,4,5800,4000.0,5190.485829959514,5190.485829959514
23,Electric vehicle battery and vehicle body separated centralized charging method,DONG SHE,CN115158041A,2022-06-20,"['B60L50/60', 'B60L53/80', 'H02J7/00']","['B60L50/66 (CN)', 'B60L53/80 (CN)', 'H02J7/0045 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2022-10-11,2022-10-11,83486596,2022-10-11,,CN115158041A,,CN,,2022,2022,,DONG SHE,,Individual Inventor,Unknown,3,5800,4000.0,5190.485829959514,5190.485829959514
24,Intelligent dual -driving -force assembly for battery electric vehicle,"ZHANG YONG 
WANG LIN 
MENG JIANBO 
LI LEI",CN206374543U,2016-07-29,"['B60K1/02', 'B60K17/02', 'B60K17/06', 'B60L11/18', 'B60L15/20', 'B60L15/32']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2017-08-04,2017-08-04,59402643,2017-08-04,,CN206374543U,,CN,,2017,2016,,BEIJING ZHONGRUI PUDE CREATIVE TECH DEVELOPMENT CO LTD,,Company - Limited,Unknown,9,5200,2000.0,5190.485829959514,5190.485829959514
25,BATTERY CONTROL DEVICE FOR ELECTRIC VEHICLE,"ARAI YOICHI 
SHIMOYAMA KENICHI 
MAEMOTO TOSHIFUMI",JPH11164401A,1997-11-28,"['B60L11/18', 'B60L3/00', 'H01M10/42', 'H02J7/00', 'B60L50/64', 'H01M10/42', 'H01M10/48', 'H02J7/00', 'H01M10/52', 'H01M2/10', 'H01M2/12']","['B60L3/0046 (EP,US)', 'B60L50/64 (EP,US)', 'B60L53/14 (EP,US)', 'B60L58/10 (EP,US)', 'B60L58/15 (EP,US)', 'B60L58/26 (EP)', 'H01M10/48 (EP,US)', 'H01M50/249 (EP,US)', 'H01M10/52 (EP,US)', 'H01M10/613 (EP,US)', 'H01M10/625 (EP,US)', 'H01M10/63 (EP,US)', 'H01M10/6563 (EP,US)', 'H01M50/30 (EP,US)', 'Y02E60/10 (EP)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/14 (EP,US)', 'Y02T90/16 (EP,US)']",1999-06-18,1999-06-18,18212376,1999-06-18,,JPH11164401A,,JP,,1999,1997,,YAZAKI CORP ,MAZDA MOTOR,Company - General,Automotive Manufacturer,28,30000,23000.0,5190.485829959514,5190.485829959514
26,APPARATUS AND METHOD USING HYDROGEN PRESSURE IN FUEL CELL ELECTRIC VEHICLE,"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]","US2010304228A1 
US8153309B2",2009-05-27,"['F02B63/00', 'H01M8/04', 'H01M8/06']","['F01B1/02 (EP,US)', 'F01B17/02 (EP,US)', 'H01M8/04067 (EP,US)', 'H01M8/04089 (EP,US)', 'H01M2250/20 (EP,US)', 'H01M2250/402 (EP,US)', 'H01M2250/407 (EP,US)', 'Y02B90/10 (EP,US)', 'Y02E60/50 (EP,US)', 'Y02T90/40 (EP,US)']","2010-12-02 
2012-04-10",2010-12-02,43220607,2010-12-02,2012-04-10,US2010304228A1,US8153309B2,US,US,2010,2009,US,GM GLOBAL TECH OPERATIONS INC [US] ,"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]",Company - Incorporated/Corporation,Individual Inventor,16,3000,1500.0,5190.485829959514,5190.485829959514
27,Hydrogen fuel cell integrated fast electric vehicle charger,HA JAE CHUNG [KR],"KR102352048B1 
KR20210148470A",2020-05-28,"['B60L53/10', 'B60L53/24', 'B60L53/66', 'H02H5/04', 'H02H7/18', 'H02M3/00', 'H02M7/44']","['B60L53/11 (KR)', 'B60L53/24 (KR)', 'B60L53/665 (KR)', 'H01M8/0494 (KR)', 'H01M8/04947 (KR)', 'H02H5/041 (KR)', 'H02H7/18 (KR)', 'H02M3/00 (KR)', 'H02M7/44 (KR)', 'B60L2210/10 (KR)', 'B60L2210/40 (KR)', 'B60L2250/16 (KR)', 'B60Y2200/91 (KR)', 'H01M2250/20 (KR)', 'Y02E60/50 (EP,KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/7072 (EP,KR)', 'Y02T10/72 (KR)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (KR)']","2021-12-08 
2022-01-17",2021-12-08,78867662,2021-12-08,2022-01-17,KR102352048B1,KR20210148470A,KR,KR,2021,2020,KR,HA JAE CHUNG [KR],,Individual Inventor,Unknown,5,7500,4000.0,5190.485829959514,5190.485829959514
28,HYBRID PLUG-IN BATTERY AND HYDROGEN FUEL ENGINE VEHICLE WITH SWAPPABLE HYDROGEN TANKS AND METHOD FOR MODULAR HYDROGEN STORAGE AND TRANSPORTATION AND DISTRIBUTION,WANG YONGHUA [US],"US12005772B2 
US2022402354A1",2021-06-17,"['B60K15/01', 'B60K15/03', 'F02B43/10', 'H01M10/42', 'H01M10/44', 'H01M10/46', 'H02J7/35', 'B60K15/00', 'F02B13/10']","['B60K15/00 (US)', 'B60K15/01 (EP,US)', 'B60K15/013 (EP)', 'B60K15/03 (US)', 'B60K15/03006 (EP)', 'B60K15/07 (CN)', 'B60K6/24 (CN)', 'B60K6/28 (CN)', 'B60L50/71 (EP)', 'B60L50/72 (EP)', 'B60L50/75 (EP)', 'B60L8/003 (CN)', 'F02B13/10 (US)', 'F02B43/10 (US)', 'H01M10/4257 (US)', 'H01M10/44 (US)', 'H01M10/465 (EP,US)', 'H01M50/249 (EP)', 'H01M8/04201 (EP)', 'H01M8/0656 (EP)', 'H01M8/1007 (EP)', 'H02J15/008 (EP)', 'H02J7/35 (EP,US)', 'B60K2015/03118 (CN)', 'B60K2015/03184 (EP,CN,US)', 'B60K2015/03315 (EP,CN,US)', 'C25B1/04 (EP)', 'C25B15/00 (EP)', 'F02B2043/106 (US)', 'H01M2010/4278 (US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP)', 'H02J2300/30 (EP)', 'H02J2310/48 (EP)', 'Y02E60/36 (US)']","2022-12-22 
2024-06-11",2022-12-22,84489982,2022-12-22,2024-06-11,US12005772B2,US2022402354A1,US,US,2022,2021,US,WANG YONGHUA [US],,Individual Inventor,Unknown,4,6000,3500.0,5190.485829959514,5190.485829959514
29,Pure electric vehicle powered by hydrogen energy,LIANG XINYAN,CN103350650A,2013-06-25,"['B60K1/00', 'B60L11/18', 'B60L15/00']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2013-10-16,2013-10-16,49307103,2013-10-16,,CN103350650A,,CN,,2013,2013,,CHERY AUTOMOBILE CO LTD,,Company - Limited,Unknown,12,4000,4000.0,5190.485829959514,5190.485829959514
30,Charging system capable of preventing electric vehicle from moving during charging,"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN",CN108621843A,2018-05-10,['B60L3/00'],"['B60L3/00 (CN)', 'B60L53/00 (CN)', 'B60L53/60 (CN)', 'B60L2200/12 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']",2018-10-09,2018-10-09,63692409,2018-10-09,,CN108621843A,,CN,,2018,2018,,JIANGSU KINGBON VEHICLE CO LTD,,Company - Limited,Unknown,7,5200,2000.0,5190.485829959514,5190.485829959514
31,"ELECTRIC VEHICLE CHARGING SYSTEM USING MOBILE, FAST AND CLEAN ENERGY",CELIK AHMET OZAN [TR],WO2023146504A1,2021-01-28,"['B60L53/51', 'B60L53/66', 'B60L7/10', 'H02J7/35']","['B60L53/51 (EP)', 'B60L53/53 (EP)', 'B60L53/665 (EP)', 'B60L7/10 (EP)', 'H02J7/342 (EP)', 'H02J7/35 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2023-08-03,2022-08-04,82653775,2023-08-03,,WO2023146504A1,,WO,,2023,2021,TR,ESKISEHIR TEKNIK UNIV [TR],,University/Research Institution,Unknown,4,4900,12000.0,5190.485829959514,5190.485829959514
32,BATTERY CHARGING DEVICE IN ELECTRIC VEHICLE,KIYOMIYA SHIGERU,JP2005100746A,2003-09-24,"['B60L11/18', 'B60L3/00', 'H01M10/44', 'B60L11/18', 'B60L3/00', 'H01M10/44']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",2005-04-14,2005-04-14,34460162,2005-04-14,,JP2005100746A,,JP,,2005,2003,,KOMATSU FORKLIFT,,Individual Inventor,Unknown,22,30000,23000.0,5190.485829959514,5190.485829959514
33,Energy independent type hydrogen energy power generation system for supplying power to electric vehicle charging pile,"KWON SOON-PYO 
KIM JONG-HWA",CN115706254A,2021-08-04,"['B60L53/31', 'B60L53/51', 'B60L53/54', 'C02F1/461', 'C02F9/00', 'C25B1/04', 'H01M8/22', 'C02F103/08']",['unkown)'],2023-02-17,2023-02-17,85178622,2023-02-17,,CN115706254A,,CN,,2023,2021,,KWATERCRAFT CO LTD,,Company - Limited,Unknown,4,5800,4000.0,5190.485829959514,5190.485829959514
