"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour ctxt all ""hydrogen"" AND ctxt all ""battery"" AND ctxt all ""electric vehicle"" AND ctxt all ""charging""";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"11";"Motor driving and lithium battery charging integrated method for hybrid electric vehicle";"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG";"FOSHAN XIANHU LABORATORY";"CN112606713A";"2020-12-10";"B60L50/75 
B60L58/40 
H02J7/02 
H02P27/06";"B60L50/75 (CN) 
B60L58/40 (CN) 
H02J7/02 (CN) 
H02P27/06 (CN) 
B60L2210/10 (CN) 
B60L2210/30 (CN) 
Y02T10/64 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-04-06";"2021-04-06";"075232631";
"12";"AUTOMATIC CHARGING SYSTEM FOR ELECTRIC VEHICLE";"CHEN WEN-LO [TW]";"CHEN WEN-LO [TW]";"US2013093378A1";"2011-10-17";"H02J7/00";"B60L50/72 (EP,US) 
B60L58/40 (EP,US) 
B60L8/00 (EP,US) 
C25B1/04 (EP,US) 
C25B15/02 (EP,US) 
C25B15/08 (EP,US) 
H01M16/003 (EP,US) 
H01M16/006 (EP,US) 
H01M8/0656 (EP,US) 
H01M2220/20 (EP,US) 
H01M2250/20 (EP,US) 
H02J2310/48 (EP) 
Y02E60/10 (EP) 
Y02E60/36 (EP,US) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP,US) 
Y02T90/40 (EP,US)";"2013-04-18";"2013-04-18";"048085546";
"13";"Stable Charging Device for Methanol Hydrogen Production Electric Vehicle";"CHEN JIEPING";"ZHEJIANG QINGGU NEW ENERGY AUTOMOBILE CO LTD";"CN109263516A 
CN109263516B";"2018-10-30";"B60L58/31 
H01M8/04082 
H01M8/0612";"H01M8/04201 (CN) 
H01M8/0618 (CN) 
H01M8/0625 (CN) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2019-01-25 
2024-03-15";"2019-01-25";"065194032";
"14";"Control method and system for charging electric vehicle by hydrogen fuel cell generator";"XIANG HUA 
YANG WEITAO";"GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD";"CN110015205A";"2017-11-29";"B60L58/30";"B60L58/30 (CN) 
Y02T90/40 (EP)";"2019-07-16";"2019-07-16";"067186523";
"15";"Motor driving and lithium battery charging integrated system of hybrid electric vehicle";"CHEN JING 
TIAN SHAOPENG 
XIAO CHUN 
WANG YUNING 
YANG CAN 
QIN GUOFENG 
LI ZHIHUA 
GUO ZHENGYANG";"FOSHAN XIANHU LABORATORY";"CN214240460U";"2020-12-10";"B60L50/75 
B60L58/40 
H02J7/02 
H02P27/06";"Y02T10/64 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-09-21";"2021-09-21";"077737375";
"16";"Double dynamical hydrogen energy charging system of electric automobile";"LI XIN 
PEI JING 
LI LEI";"GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST";"CN206968376U";"2017-04-17";"B60K1/02 
B60L11/18";"Y02T10/70 (EP)";"2018-02-06";"2018-02-06";"061415160";
"17";"Movable charging vehicle for electric automobile";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN106025314A";"2016-06-17";"B60L11/18 
H01M4/90 
H01M8/0612 
H02J7/00";"B60L53/14 (CN) 
B60L53/54 (CN) 
H01M4/9016 (CN) 
H01M8/0618 (CN) 
H02J7/0027 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2016-10-12";"2016-10-12";"057089126";
"18";"VÉHICULE ÉLECTRIQUE HYBRIDE À HYDROGÈNE";"AHMAD REZAL KHAIRI BIN [MY] 
ZOLKIPLI MOHAMAD HAFIZ BIN [MY] 
ABDULLAH MOHAMAD SHAZWAN BIN [MY] 
SULAIMAN MOHD TAUFIK BIN [MY] 
PARDAMAN SINGH JAGJEET SINGH A/L [MY]";"NANOMALAYSIA BERHAD [MY]";"WO2023128748A1";"2021-12-27";"B60K6/26 
B60K6/28 
B60L15/20 
B60L53/24 
B60L58/40";"B60K6/28 (EP) 
B60K6/32 (EP) 
B60K6/48 (EP) 
B60L50/40 (EP) 
B60L58/12 (EP) 
B60L58/40 (EP) 
H01M10/0525 (EP) 
H01M16/003 (EP) 
H01M16/006 (EP) 
H01M4/583 (EP) 
H01M8/0606 (EP) 
H01M8/1004 (EP) 
H01M2220/20 (EP) 
H01M2250/20 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2023-07-06";"2023-07-06";"086999818";
"19";"Automatic charging system for idling fuel cell in hydrogen vehicle";"BAO XIANJUN 
ZHAO CHENGWANG 
FANG XIAOMING 
CHENG XIAOCUI 
WANG LIANG";"WUHU GUOQING WNERGY CO LTD";"CN204109822U";"2014-09-29";"B60L11/18";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2015-01-21";"2015-01-21";"052327170";
"20";"BATTERY CONTROL DEVICE FOR ELECTRIC VEHICLE";"ARAI YOICHI 
SHIMOYAMA KENICHI";"YAZAKI CORP";"JPH11162523A";"1997-11-28";"B60L11/18 
B60L3/00 
H01M10/42 
H02J7/00 
B60L11/18 
B60L3/00 
H01M10/42 
H02J7/00";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"1999-06-18";"1999-06-18";"018217822";
"21";"Hydrogen plug-in hybrid electric vehicle";"TAN PIQIANG 
YAO CHAOJIE";"UNIV TONGJI";"CN115431743A";"2022-09-22";"B60K15/01 
B60K15/03 
B60K6/32";"B60K15/013 (CN) 
B60K15/03006 (CN) 
B60K6/32 (CN) 
B60K2015/03315 (CN)";"2022-12-06";"2022-12-06";"084250059";
"22";"SYSTEM AND METHDO FOR CONTROLLING HYDROGEN ELECTRIC VEHICLE FOR USING AUXILIARY BREAK";"SHIN JIN CHEOL";"HYUNDAI MOTOR CO LTD [KR] 
KIA CORP [KR]";"KR20210053589A";"2019-11-04";"B60L58/12 
B60L58/40 
B60L7/10 
B60T13/74";"B60L58/12 (KR) 
B60L58/40 (KR) 
B60L7/10 (KR) 
B60T13/74 (KR) 
B60L2240/62 (KR) 
B60T2201/03 (KR) 
B60T2270/60 (KR) 
B60Y2200/91 (KR) 
Y02T10/70 (EP,KR) 
Y02T10/72 (EP)";"2021-05-12";"2021-05-12";"075918832";
"23";"Control system and method for hydrogen fuel cell in vehicle, and electric vehicle";"LUO SHEN 
LIN SHAOWEN 
SU LI 
LIN HONGDONG 
LI FEI 
WANG JIANMING 
CHEN GUANGHOU";"GUANGDONG POWER GRID CO 
ZHONGSHAN POWER SUPPLY BUREAU GUANGDONG POWER GRID CO";"CN113525181A";"2021-07-12";"B60L58/12 
B60L58/30 
B60L58/40 
H01M8/04537 
H01M8/04858 
H01M8/04992";"B60L58/12 (CN) 
B60L58/30 (CN) 
B60L58/40 (CN) 
H01M8/04619 (CN) 
H01M8/0494 (CN) 
H01M8/04992 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2021-10-22";"2021-10-22";"078098645";
"24";"Wind-light-electricity-hydrogen storage integrated charging and hydrogen charging system for expressway electric vehicle";"GUO WENLI 
GUO YEHENG 
KONG RUILEI 
LI PENGCHENG 
WANG MOLI";"HENAN HENGJU NEW ENERGY EQUIPMENT CO LTD";"CN113085622A";"2021-03-15";"B60L53/31 
B60L53/51 
B60L53/52 
F17C13/00 
F17C5/06 
F17C7/00 
F17D1/04 
F17D1/07 
F17D1/20 
H01M8/04082 
H02J15/00";"B60L53/31 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
F17C13/00 (CN) 
F17C5/06 (CN) 
F17C7/00 (CN) 
F17D1/04 (CN) 
F17D1/07 (CN) 
F17D1/20 (CN) 
H01M8/04201 (CN) 
H02J15/008 (CN) 
F17C2221/012 (CN) 
F17C2223/0123 (CN) 
F17C2225/0123 (CN) 
F17C2227/0157 (CN) 
F17C2265/065 (CN) 
Y02E60/32 (EP) 
Y02E60/34 (EP) 
Y02E60/36 (EP) 
Y02E60/50 (EP) 
Y02E70/30 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP)";"2021-07-09";"2021-07-09";"076667189";
"25";"HYBRID PLUG-IN BATTERY AND HYDROGEN FUEL ENGINE VEHICLE WITH SWAPPABLE HYDROGEN TANKS AND METHOD FOR MODULAR HYDROGEN STORAGE AND TRANSPORTATION AND DISTRIBUTION";"WANG YONGHUA [US]";"WANG YONGHUA [US]";"US12005772B2 
US2022402354A1";"2021-06-17";"B60K15/01 
B60K15/03 
F02B43/10 
H01M10/42 
H01M10/44 
H01M10/46 
H02J7/35 
B60K15/00 
F02B13/10";"B60K15/00 (US) 
B60K15/01 (EP,US) 
B60K15/013 (EP) 
B60K15/03 (US) 
B60K15/03006 (EP) 
B60K15/07 (CN) 
B60K6/24 (CN) 
B60K6/28 (CN) 
B60L50/71 (EP) 
B60L50/72 (EP) 
B60L50/75 (EP) 
B60L8/003 (CN) 
F02B13/10 (US) 
F02B43/10 (US) 
H01M10/4257 (US) 
H01M10/44 (US) 
H01M10/465 (EP,US) 
H01M50/249 (EP) 
H01M8/04201 (EP) 
H01M8/0656 (EP) 
H01M8/1007 (EP) 
H02J15/008 (EP) 
H02J7/35 (EP,US) 
B60K2015/03118 (CN) 
B60K2015/03184 (EP,CN,US) 
B60K2015/03315 (EP,CN,US) 
C25B1/04 (EP) 
C25B15/00 (EP) 
F02B2043/106 (US) 
H01M2010/4278 (US) 
H01M2220/20 (EP,US) 
H01M2250/20 (EP) 
H02J2300/30 (EP) 
H02J2310/48 (EP) 
Y02E60/36 (US)";"2022-12-22 
2024-06-11";"2022-12-22";"084489982";
"26";"Management method of electric automobile battery charging operation";"TIELIANG WANG 
HUA WANG";"BEIJING CREATIVE WUXIAN SOFTWA";"CN101685890A";"2008-05-26";"B60L11/18 
G07F15/06 
G07F15/08 
H01M10/42 
H01M10/44 
H02J7/00";"Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T90/12 (EP)";"2010-03-31";"2010-03-31";"042048928";
"27";"New energy electric vehicle charging pile for city";"XU XIJIE 
YUAN PENGFEI";"TAIZHOU LIWEI ENVIRONMENTAL PROTECTION TECH CO LTD";"CN108674229A 
CN108674229B";"2018-05-24";"B60S5/02 
B60L50/53 
B60L53/31 
B60L53/51 
H02J7/00";"B60L53/14 (CN) 
B60L53/30 (CN) 
B60L53/31 (CN) 
B60L53/51 (CN) 
B60S5/02 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP)";"2018-10-19 
2019-11-19";"2018-10-19";"063808137";
"28";"Off-grid electric vehicle charging pile based on ammonia-hydrogen conversion";"JING DENGWEI 
WANG WEIDING 
SU JINZHAN 
LIU MAOCHANG 
JIANG BIAO 
ZHANG XIAOHAN 
SHI JINWEN";"UNIV XI AN JIAOTONG";"CN117124905A";"2023-08-30";"B60L53/54 
B60L53/57 
H01M8/0606";"B60L53/54 (CN) 
B60L53/57 (CN) 
H01M8/0606 (CN)";"2023-11-28";"2023-11-28";"088861021";
"29";"Control method and system for charging other electric vehicles through hydrogen fuel cell electric vehicle";"XIANG HUA 
YANG WEITAO";"GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD";"CN110014885A";"2017-11-29";"B60L53/00 
B60S5/06";"B60L58/30 (CN) 
B60S5/06 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2019-07-16";"2019-07-16";"067186521";
"30";"System and Method for Renewable Energy Based EV Charging and Hydrogen Fueling";"JORGENSON JOEL A [US] 
JORGENSON ADAM C [US] 
NELSON THOMAS W [US] 
HAALAND NEAL O [US]";"BWR INNOVATIONS LLC [US]";"US2023256848A1";"2022-02-11";"B60L53/54 
B60L53/65 
B60L53/68 
B60S5/02 
C25B1/04 
C25B15/08 
H01M10/44 
H01M8/04082 
H01M8/0438 
H01M8/04537 
H01M8/04858 
H01M8/0656";"B60L53/305 (EP) 
B60L53/51 (EP) 
B60L53/52 (EP) 
B60L53/54 (EP,US) 
B60L53/65 (US) 
B60L53/68 (EP,US) 
B60S5/02 (US) 
C25B1/04 (EP,US) 
C25B15/08 (US) 
H01M10/44 (EP,US) 
H01M16/006 (EP) 
H01M8/04201 (EP,US) 
H01M8/04425 (EP,US) 
H01M8/04626 (EP,US) 
H01M8/04947 (EP,US) 
H01M8/0656 (EP,US) 
B60L2210/40 (US) 
C25B15/00 (EP) 
H01M2220/20 (EP,US) 
H01M2250/10 (EP,US) 
H01M2250/20 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2023-08-17";"2023-08-17";"087560027";
"31";"Charging hydrogenation load simulation method and device for electric vehicle and hydrogen fuel cell vehicle";"TIAN XUEQIN 
YANG HENG 
YUAN TIEJIANG 
YANG FUYUAN 
WANG XINLEI 
JI LI";"UNIV DALIAN TECH 
STATE GRID ECONOMIC AND TECH RESEARCH INSTITUTE CO LTD 
ELECTRIC POWER RES INST STATE GRID LIAONING ELECTRIC POWER CO LTD 
STATE GRID CORP CHINA";"CN115759606A";"2022-11-11";"G06Q10/04 
G06Q10/0631 
G06Q50/06";"";"2023-03-07";"2023-03-07";"085369534";
"32";"Electric vehicle battery and vehicle body separated centralized charging method";"DONG SHE";"DONG SHE";"CN115158041A";"2022-06-20";"B60L50/60 
B60L53/80 
H02J7/00";"B60L50/66 (CN) 
B60L53/80 (CN) 
H02J7/0045 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2022-10-11";"2022-10-11";"083486596";
"33";"Intelligent dual -driving -force assembly for battery electric vehicle";"ZHANG YONG 
WANG LIN 
MENG JIANBO 
LI LEI";"BEIJING ZHONGRUI PUDE CREATIVE TECH DEVELOPMENT CO LTD";"CN206374543U";"2016-07-29";"B60K1/02 
B60K17/02 
B60K17/06 
B60L11/18 
B60L15/20 
B60L15/32";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2017-08-04";"2017-08-04";"059402643";
"34";"Mobile charging vehicle based on hydrogen fuel battery pack charging";"ZHANG XIA 
SADAMASA TATSUTAKA 
ZHANG DUO";"INNER MONGOLIA YUANSU MENGTAI INTELLIGENT HYDROGEN ELECTRIC COMMERCIAL VEHICLE CO LTD";"CN221914114U";"2023-12-07";"B60L53/54 
B60P3/00";"";"2024-10-29";"2024-10-29";"093195451";
"35";"APPARATUS AND METHOD USING HYDROGEN PRESSURE IN FUEL CELL ELECTRIC VEHICLE";"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]";"GM GLOBAL TECH OPERATIONS INC [US] 
MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]";"US2010304228A1 
US8153309B2";"2009-05-27";"F02B63/00 
H01M8/04 
H01M8/06";"F01B1/02 (EP,US) 
F01B17/02 (EP,US) 
H01M8/04067 (EP,US) 
H01M8/04089 (EP,US) 
H01M2250/20 (EP,US) 
H01M2250/402 (EP,US) 
H01M2250/407 (EP,US) 
Y02B90/10 (EP,US) 
Y02E60/50 (EP,US) 
Y02T90/40 (EP,US)";"2010-12-02 
2012-04-10";"2010-12-02";"043220607";
"36";"Electric automobile charging pile with standby battery";"XIANG HUA";"GUANGZHOU CITY MOBILE TECH CO LTD";"CN108248409A";"2016-12-28";"B60L11/18 
H01M8/0612";"B60L53/00 (CN) 
B60L53/31 (CN) 
B60L58/30 (CN) 
H01M8/0618 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/92 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2018-07-06";"2018-07-06";"062720418";
"37";"Electric automobile removes storage battery car";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN206938494U";"2016-06-17";"B60L11/18 
H01M8/04746 
H01M8/0612 
H02J7/32 
H02J7/35";"Y02E60/50 (EP) 
Y02T10/70 (EP)";"2018-01-30";"2018-01-30";"061365502";
"38";"Method and means for electric vehicle battery charging";"VAANANEN MIKKO KALERVO [FI]";"VAANANEN MIKKO KALERVO [FI]";"US2022258626A1";"2021-02-17";"B60L50/60 
B60L53/14 
H01B12/04 
H01B12/12 
H01M50/522";"B60L50/60 (US) 
B60L53/14 (US) 
B60L53/18 (EP) 
B60L53/302 (EP) 
H01B12/04 (US) 
H01B12/12 (US) 
H01M50/522 (EP,US) 
H01B12/16 (EP,US) 
H01M2220/20 (EP,US) 
H10N60/855 (US) 
H10N60/857 (US)";"2022-08-18";"2022-08-18";"082801023";
"39";"Electric automobile with hydrogen energy charging device";"LI XIN 
PEI JING 
LI LEI";"GUOKEGONGXIN BEIJING NEW ENERGY SCIENCE INST";"CN206968419U";"2017-04-17";"B60L11/18";"Y02T10/70 (EP)";"2018-02-06";"2018-02-06";"061415137";
"40";"COMMUNICATION SYSTEMS AND METHODS FOR HYDROGEN FUELING AND ELECTRIC CHARGING";"BOISEN JESPER NISSEN [DK] 
GAMBONE LIVIO RICHARD [US] 
GRABOVSKIJ GRIGORIJ J [DE] 
SCHNEIDER JESSE MICHAEL [US] 
SVENDSEN JACOB APPELT VIBE [DK] 
VIG BJARNE [DK]";"NIKOLA CORP [US] 
NEL HYDROGEN AS [DK]";"US10960783B2 
US2020346554A1";"2019-02-18";"B60L50/71 
B60L53/66 
B60S5/02 
B67D7/32 
H04B5/00 
H04W4/40 
H04W76/10";"B60L3/0053 (EP) 
B60L50/71 (KR,US) 
B60L53/66 (KR,US) 
B60L58/30 (EP,KR) 
B60S5/02 (KR,US) 
B67D7/04 (US) 
B67D7/3218 (KR,US) 
B67D7/3281 (KR,US) 
F17C5/06 (KR) 
H04B5/20 (EP,KR) 
H04B5/70 (EP,KR) 
H04B5/72 (US) 
H04B5/77 (KR) 
H04W4/40 (EP,KR,US) 
H04W4/80 (EP,KR,US) 
H04W76/10 (US) 
B60L2240/36 (KR,US) 
F17C2205/05 (EP,KR) 
F17C2205/058 (EP,KR) 
F17C2221/012 (EP,KR) 
F17C2223/0123 (EP,KR) 
F17C2223/036 (EP,KR) 
F17C2250/034 (EP,KR) 
F17C2265/065 (EP,KR) 
F17C2270/0139 (EP,KR) 
H04W4/44 (EP) 
H04W4/46 (EP) 
Y02E60/32 (EP,KR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (KR) 
Y02T90/40 (EP,KR)";"2020-11-05 
2021-03-30";"2020-08-27";"072144408";
"41";"SYSTÈME DE CHARGE DE VÉHICULE ÉLECTRIQUE UTILISANT UNE ÉNERGIE MOBILE, RAPIDE ET PROPRE";"CELIK AHMET OZAN [TR]";"ESKISEHIR TEKNIK UNIV [TR]";"WO2023146504A1";"2021-01-28";"B60L53/51 
B60L53/66 
B60L7/10 
H02J7/35";"B60L53/51 (EP) 
B60L53/53 (EP) 
B60L53/665 (EP) 
B60L7/10 (EP) 
H02J7/342 (EP) 
H02J7/35 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2023-08-03";"2022-08-04";"082653775";
"42";"Automatic charging system during fuel battery idling in hydrogen energy source automobile";"BAO XIANJUN 
ZHAO CHENGWANG 
FANG XIAOMING 
CHENG XIAOCUI 
WANG LIANG";"WUHU GUOQING ENERGY CO LTD";"CN104210379A";"2014-09-29";"B60L11/18";"Y02T10/70 (EP) 
Y02T10/72 (EP)";"2014-12-17";"2014-12-17";"052092438";
"43";"Charging and water replenishing station for electric vehicle";"SUN YIFEI 
CAI JIABIN";"XIAMEN GULUOPU TECH CO LTD";"CN217969303U";"2022-07-25";"B60L53/31 
B60L53/53 
B60L53/54 
H02J7/00";"";"2022-12-06";"2022-12-06";"084282245";
