No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
20,BATTERY CONTROL DEVICE FOR ELECTRIC VEHICLE,"ARAI YOICHI 
SHIMOYAMA KENICHI",YAZAKI CORP,JPH11162523A,1997-11-28,"['B60L11/18', 'B60L3/00', 'H01M10/42', 'H02J7/00', 'B60L11/18', 'B60L3/00', 'H01M10/42', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",1999-06-18,1999-06-18,18217822,1999-06-18,,JPH11162523A,,JP,,1999,1997,,['JP'],['JPH11162523A']
21,Hydrogen plug-in hybrid electric vehicle,"TAN PIQIANG 
YAO CHAOJIE",UNIV TONGJI,CN115431743A,2022-09-22,"['B60K15/01', 'B60K15/03', 'B60K6/32']","['B60K15/013 (CN)', 'B60K15/03006 (CN)', 'B60K6/32 (CN)', 'B60K2015/03315 (CN)']",2022-12-06,2022-12-06,84250059,2022-12-06,,CN115431743A,,CN,,2022,2022,,['CN'],['CN115431743A']
22,SYSTEM AND METHDO FOR CONTROLLING HYDROGEN ELECTRIC VEHICLE FOR USING AUXILIARY BREAK,SHIN JIN CHEOL,"HYUNDAI MOTOR CO LTD [KR] 
KIA CORP [KR]",KR20210053589A,2019-11-04,"['B60L58/12', 'B60L58/40', 'B60L7/10', 'B60T13/74']","['B60L58/12 (KR)', 'B60L58/40 (KR)', 'B60L7/10 (KR)', 'B60T13/74 (KR)', 'B60L2240/62 (KR)', 'B60T2201/03 (KR)', 'B60T2270/60 (KR)', 'B60Y2200/91 (KR)', 'Y02T10/70 (EP,KR)', 'Y02T10/72 (EP)']",2021-05-12,2021-05-12,75918832,2021-05-12,,KR20210053589A,,KR,,2021,2019,KR,['KR'],['KR20210053589A']
23,"Control system and method for hydrogen fuel cell in vehicle, and electric vehicle","LUO SHEN 
LIN SHAOWEN 
SU LI 
LIN HONGDONG 
LI FEI 
WANG JIANMING 
CHEN GUANGHOU","GUANGDONG POWER GRID CO 
ZHONGSHAN POWER SUPPLY BUREAU GUANGDONG POWER GRID CO",CN113525181A,2021-07-12,"['B60L58/12', 'B60L58/30', 'B60L58/40', 'H01M8/04537', 'H01M8/04858', 'H01M8/04992']","['B60L58/12 (CN)', 'B60L58/30 (CN)', 'B60L58/40 (CN)', 'H01M8/04619 (CN)', 'H01M8/0494 (CN)', 'H01M8/04992 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",2021-10-22,2021-10-22,78098645,2021-10-22,,CN113525181A,,CN,,2021,2021,,['CN'],['CN113525181A']
24,Wind-light-electricity-hydrogen storage integrated charging and hydrogen charging system for expressway electric vehicle,"GUO WENLI 
GUO YEHENG 
KONG RUILEI 
LI PENGCHENG 
WANG MOLI",HENAN HENGJU NEW ENERGY EQUIPMENT CO LTD,CN113085622A,2021-03-15,"['B60L53/31', 'B60L53/51', 'B60L53/52', 'F17C13/00', 'F17C5/06', 'F17C7/00', 'F17D1/04', 'F17D1/07', 'F17D1/20', 'H01M8/04082', 'H02J15/00']","['B60L53/31 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'F17C13/00 (CN)', 'F17C5/06 (CN)', 'F17C7/00 (CN)', 'F17D1/04 (CN)', 'F17D1/07 (CN)', 'F17D1/20 (CN)', 'H01M8/04201 (CN)', 'H02J15/008 (CN)', 'F17C2221/012 (CN)', 'F17C2223/0123 (CN)', 'F17C2225/0123 (CN)', 'F17C2227/0157 (CN)', 'F17C2265/065 (CN)', 'Y02E60/32 (EP)', 'Y02E60/34 (EP)', 'Y02E60/36 (EP)', 'Y02E60/50 (EP)', 'Y02E70/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)']",2021-07-09,2021-07-09,76667189,2021-07-09,,CN113085622A,,CN,,2021,2021,,['CN'],['CN113085622A']
25,HYBRID PLUG-IN BATTERY AND HYDROGEN FUEL ENGINE VEHICLE WITH SWAPPABLE HYDROGEN TANKS AND METHOD FOR MODULAR HYDROGEN STORAGE AND TRANSPORTATION AND DISTRIBUTION,WANG YONGHUA [US],WANG YONGHUA [US],"US12005772B2 
US2022402354A1",2021-06-17,"['B60K15/01', 'B60K15/03', 'F02B43/10', 'H01M10/42', 'H01M10/44', 'H01M10/46', 'H02J7/35', 'B60K15/00', 'F02B13/10']","['B60K15/00 (US)', 'B60K15/01 (EP,US)', 'B60K15/013 (EP)', 'B60K15/03 (US)', 'B60K15/03006 (EP)', 'B60K15/07 (CN)', 'B60K6/24 (CN)', 'B60K6/28 (CN)', 'B60L50/71 (EP)', 'B60L50/72 (EP)', 'B60L50/75 (EP)', 'B60L8/003 (CN)', 'F02B13/10 (US)', 'F02B43/10 (US)', 'H01M10/4257 (US)', 'H01M10/44 (US)', 'H01M10/465 (EP,US)', 'H01M50/249 (EP)', 'H01M8/04201 (EP)', 'H01M8/0656 (EP)', 'H01M8/1007 (EP)', 'H02J15/008 (EP)', 'H02J7/35 (EP,US)', 'B60K2015/03118 (CN)', 'B60K2015/03184 (EP,CN,US)', 'B60K2015/03315 (EP,CN,US)', 'C25B1/04 (EP)', 'C25B15/00 (EP)', 'F02B2043/106 (US)', 'H01M2010/4278 (US)', 'H01M2220/20 (EP,US)', 'H01M2250/20 (EP)', 'H02J2300/30 (EP)', 'H02J2310/48 (EP)', 'Y02E60/36 (US)']","2022-12-22 
2024-06-11",2022-12-22,84489982,2022-12-22,2024-06-11,US12005772B2,"
US2022402354A1",US,"
",2022,2021,US,"['CN', 'US']","['CN118372636A', 'US12005772B2', 'US2022402354A1']"
26,Management method of electric automobile battery charging operation,"TIELIANG WANG 
HUA WANG",BEIJING CREATIVE WUXIAN SOFTWA,CN101685890A,2008-05-26,"['B60L11/18', 'G07F15/06', 'G07F15/08', 'H01M10/42', 'H01M10/44', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T90/12 (EP)']",2010-03-31,2010-03-31,42048928,2010-03-31,,CN101685890A,,CN,,2010,2008,,['CN'],['CN101685890A']
27,New energy electric vehicle charging pile for city,"XU XIJIE 
YUAN PENGFEI",TAIZHOU LIWEI ENVIRONMENTAL PROTECTION TECH CO LTD,"CN108674229A 
CN108674229B",2018-05-24,"['B60S5/02', 'B60L50/53', 'B60L53/31', 'B60L53/51', 'H02J7/00']","['B60L53/14 (CN)', 'B60L53/30 (CN)', 'B60L53/31 (CN)', 'B60L53/51 (CN)', 'B60S5/02 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']","2018-10-19 
2019-11-19",2018-10-19,63808137,2018-10-19,2019-11-19,CN108674229A,"
CN108674229B",CN,"
",2018,2018,,['CN'],"['CN108674229A', 'CN108674229B']"
28,Off-grid electric vehicle charging pile based on ammonia-hydrogen conversion,"JING DENGWEI 
WANG WEIDING 
SU JINZHAN 
LIU MAOCHANG 
JIANG BIAO 
ZHANG XIAOHAN 
SHI JINWEN",UNIV XI AN JIAOTONG,CN117124905A,2023-08-30,"['B60L53/54', 'B60L53/57', 'H01M8/0606']","['B60L53/54 (CN)', 'B60L53/57 (CN)', 'H01M8/0606 (CN)']",2023-11-28,2023-11-28,88861021,2023-11-28,,CN117124905A,,CN,,2023,2023,,['CN'],['CN117124905A']
29,Control method and system for charging other electric vehicles through hydrogen fuel cell electric vehicle,"XIANG HUA 
YANG WEITAO",GUANGDONG HYDROGEN ENERGY SCIENCE & TECH CO LTD,CN110014885A,2017-11-29,"['B60L53/00', 'B60S5/06']","['B60L58/30 (CN)', 'B60S5/06 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",2019-07-16,2019-07-16,67186521,2019-07-16,,CN110014885A,,CN,,2019,2017,,['CN'],['CN110014885A']
30,System and Method for Renewable Energy Based EV Charging and Hydrogen Fueling,"JORGENSON JOEL A [US] 
JORGENSON ADAM C [US] 
NELSON THOMAS W [US] 
HAALAND NEAL O [US]",BWR INNOVATIONS LLC [US],US2023256848A1,2022-02-11,"['B60L53/54', 'B60L53/65', 'B60L53/68', 'B60S5/02', 'C25B1/04', 'C25B15/08', 'H01M10/44', 'H01M8/04082', 'H01M8/0438', 'H01M8/04537', 'H01M8/04858', 'H01M8/0656']","['B60L53/305 (EP)', 'B60L53/51 (EP)', 'B60L53/52 (EP)', 'B60L53/54 (EP,US)', 'B60L53/65 (US)', 'B60L53/68 (EP,US)', 'B60S5/02 (US)', 'C25B1/04 (EP,US)', 'C25B15/08 (US)', 'H01M10/44 (EP,US)', 'H01M16/006 (EP)', 'H01M8/04201 (EP,US)', 'H01M8/04425 (EP,US)', 'H01M8/04626 (EP,US)', 'H01M8/04947 (EP,US)', 'H01M8/0656 (EP,US)', 'B60L2210/40 (US)', 'C25B15/00 (EP)', 'H01M2220/20 (EP,US)', 'H01M2250/10 (EP,US)', 'H01M2250/20 (EP,US)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2023-08-17,2023-08-17,87560027,2023-08-17,,US2023256848A1,,US,,2023,2022,US,"['CA', 'MX', 'US', 'WO']","['CA3240699A1', 'MX2024009862A', 'US2023256848A1', 'WO2023154210A1']"
31,Charging hydrogenation load simulation method and device for electric vehicle and hydrogen fuel cell vehicle,"TIAN XUEQIN 
YANG HENG 
YUAN TIEJIANG 
YANG FUYUAN 
WANG XINLEI 
JI LI","UNIV DALIAN TECH 
STATE GRID ECONOMIC AND TECH RESEARCH INSTITUTE CO LTD 
ELECTRIC POWER RES INST STATE GRID LIAONING ELECTRIC POWER CO LTD 
STATE GRID CORP CHINA",CN115759606A,2022-11-11,"['G06Q10/04', 'G06Q10/0631', 'G06Q50/06']",['unkown)'],2023-03-07,2023-03-07,85369534,2023-03-07,,CN115759606A,,CN,,2023,2022,,['CN'],['CN115759606A']
32,Electric vehicle battery and vehicle body separated centralized charging method,DONG SHE,DONG SHE,CN115158041A,2022-06-20,"['B60L50/60', 'B60L53/80', 'H02J7/00']","['B60L50/66 (CN)', 'B60L53/80 (CN)', 'H02J7/0045 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",2022-10-11,2022-10-11,83486596,2022-10-11,,CN115158041A,,CN,,2022,2022,,['CN'],['CN115158041A']
33,Intelligent dual -driving -force assembly for battery electric vehicle,"ZHANG YONG 
WANG LIN 
MENG JIANBO 
LI LEI",BEIJING ZHONGRUI PUDE CREATIVE TECH DEVELOPMENT CO LTD,CN206374543U,2016-07-29,"['B60K1/02', 'B60K17/02', 'B60K17/06', 'B60L11/18', 'B60L15/20', 'B60L15/32']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)']",2017-08-04,2017-08-04,59402643,2017-08-04,,CN206374543U,,CN,,2017,2016,,['CN'],['CN206374543U']
34,Mobile charging vehicle based on hydrogen fuel battery pack charging,"ZHANG XIA 
SADAMASA TATSUTAKA 
ZHANG DUO",INNER MONGOLIA YUANSU MENGTAI INTELLIGENT HYDROGEN ELECTRIC COMMERCIAL VEHICLE CO LTD,CN221914114U,2023-12-07,"['B60L53/54', 'B60P3/00']",['unkown)'],2024-10-29,2024-10-29,93195451,2024-10-29,,CN221914114U,,CN,,2024,2023,,['CN'],['CN221914114U']
35,APPARATUS AND METHOD USING HYDROGEN PRESSURE IN FUEL CELL ELECTRIC VEHICLE,"MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]","GM GLOBAL TECH OPERATIONS INC [US] 
MAJAROV KONSTANTIN S [US] 
O'MEARA THOMAS P [US]","US2010304228A1 
US8153309B2",2009-05-27,"['F02B63/00', 'H01M8/04', 'H01M8/06']","['F01B1/02 (EP,US)', 'F01B17/02 (EP,US)', 'H01M8/04067 (EP,US)', 'H01M8/04089 (EP,US)', 'H01M2250/20 (EP,US)', 'H01M2250/402 (EP,US)', 'H01M2250/407 (EP,US)', 'Y02B90/10 (EP,US)', 'Y02E60/50 (EP,US)', 'Y02T90/40 (EP,US)']","2010-12-02 
2012-04-10",2010-12-02,43220607,2010-12-02,2012-04-10,US2010304228A1,"
US8153309B2",US,"
",2010,2009,US,['US'],"['US2010304228A1', 'US8153309B2']"
36,Electric automobile charging pile with standby battery,XIANG HUA,GUANGZHOU CITY MOBILE TECH CO LTD,CN108248409A,2016-12-28,"['B60L11/18', 'H01M8/0612']","['B60L53/00 (CN)', 'B60L53/31 (CN)', 'B60L58/30 (CN)', 'H01M8/0618 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/92 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",2018-07-06,2018-07-06,62720418,2018-07-06,,CN108248409A,,CN,,2018,2016,,['CN'],['CN108248409A']
37,Electric automobile removes storage battery car,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,CN206938494U,2016-06-17,"['B60L11/18', 'H01M8/04746', 'H01M8/0612', 'H02J7/32', 'H02J7/35']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)']",2018-01-30,2018-01-30,61365502,2018-01-30,,CN206938494U,,CN,,2018,2016,,['CN'],['CN206938494U']
